"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.ID","Gene.title"
"205941_s_at","205941_s_at",3.94777115362876e-25,7.22043192250345e-30,15.809142025465,57.0091382546059,6.00526904870624,"COL10A1","1300","collagen type X alpha 1 chain"
"1552509_a_at","1552509_a_at",7.21503036029776e-24,2.63924293015007e-28,-15.0647296778118,53.527132949562,-3.62661277397261,"CD300LG","146894","CD300 molecule like family member g"
"229839_at","229839_at",1.34135254997105e-22,9.81327882923496e-27,-14.3299984345455,50.0216238335349,-4.58699108066971,"SCARA5","286133","scavenger receptor class A member 5"
"217504_at","217504_at",4.36914723342562e-21,3.99556217048525e-25,-13.589098920928,46.4215937517171,-2.38222309741248,"ABCA6","23460","ATP binding cassette subfamily A member 6"
"206262_at","206262_at",2.76968833124187e-19,4.05258466391129e-23,-12.6806981951439,41.9270693013518,-2.14124696347033,"ADH1C","126","alcohol dehydrogenase 1C (class I), gamma polypeptide"
"203878_s_at","203878_s_at",3.00383712866574e-19,4.94458786611644e-23,12.6419018173279,41.7333280256397,4.29090645738203,"MMP11","4320","matrix metallopeptidase 11"
"214078_at","214078_at",3.80180700589838e-19,7.08569559521495e-23,-12.5717996915726,41.3829088903326,-2.68570714611873,"PAK3","5063","p21 (RAC1) activated kinase 3"
"210511_s_at","210511_s_at",3.80180700589838e-19,7.93392260538725e-23,12.549784903795,41.2727735442507,3.92143697488585,"INHBA","3624","inhibin beta A subunit"
"222717_at","222717_at",3.80180700589838e-19,8.34415803763704e-23,-12.5399716854063,41.2236663241973,-3.57226756849316,"SDPR","8436","serum deprivation response"
"206742_at","206742_at",4.43507331414904e-19,1.05452131840764e-22,-12.494421379689,40.9956136185437,-4.04903925038052,"PIR-FIGF///FIGF","100532742///2277","PIR-FIGF readthrough///c-fos induced growth factor"
"232555_at","232555_at",5.96266650379975e-19,1.52679160591123e-22,-12.4224810407376,40.6350710878239,-2.54767956621005,"CREB5","9586","cAMP responsive element binding protein 5"
"227183_at","227183_at",7.71236511459746e-19,2.1158752029074e-22,-12.359116687459,40.3171448011956,-2.80501797184171,"CARMN///MIR145","728264///406937","cardiac mesoderm enhancer-associated non-coding RNA///microRNA 145"
"203435_s_at","203435_s_at",1.02879168830557e-18,3.01063868548499e-22,-12.2906959829888,39.9734737338076,-3.12449863013699,"MME","4311","membrane metallo-endopeptidase"
"212353_at","212353_at",4.2889604562577e-18,1.49044807807767e-21,11.981218071334,38.4143622252099,2.68058186453576,"SULF1","23213","sulfatase 1"
"37892_at","37892_at",4.97355252485582e-18,1.81931505253071e-21,11.942730509747,38.2199622371089,5.86839607686454,"COL11A1","1301","collagen type XI alpha 1 chain"
"204754_at","204754_at",7.42074964696941e-18,2.85021934314326e-21,-11.8561392517194,37.7822062928684,-2.49290412100457,"HLF","3131","HLF, PAR bZIP transcription factor"
"229310_at","229310_at",8.5359520106033e-18,3.43467662063599e-21,-11.8201888077104,37.6003083513261,-3.08403191780822,"KLHL29","114818","kelch like family member 29"
"1556579_s_at","1556579_s_at",9.12109837427886e-18,4.0037743206711e-21,-11.7906511310425,37.4507913139559,-2.49329742770168,"IGSF10","285313","immunoglobulin superfamily member 10"
"206093_x_at","206093_x_at",2.09318752007819e-17,9.9538866981313e-21,-11.6153971101657,36.5624983086134,-3.086419086758,"TNXB///TNXA","7148///7146","tenascin XB///tenascin XA (pseudogene)"
"229308_at","229308_at",2.45398789131783e-17,1.21184587225572e-20,-11.5775770627405,36.3705506862074,-2.10342034246576,"ANKRD29","147463","ankyrin repeat domain 29"
"219935_at","219935_at",6.26644017005739e-17,3.20915088727219e-20,-11.3906078313746,35.4204034752103,-2.95590304033486,"ADAMTS5","11096","ADAM metallopeptidase with thrombospondin type 1 motif 5"
"228885_at","228885_at",6.75639636026522e-17,3.58363958752065e-20,-11.3694389874267,35.3127047490703,-3.27336808980214,"MAMDC2","256691","MAM domain containing 2"
"232304_at","232304_at",7.00189990221942e-17,3.87320404604775e-20,-11.3545384190472,35.2368823495843,-2.27586490487063,"PELI1","57162","pellino E3 ubiquitin protein ligase 1"
"229802_at","229802_at",7.00189990221942e-17,3.9699843981491e-20,11.3498061217053,35.2127993527308,3.32971740106545,"WISP1","8840","WNT1 inducible signaling pathway protein 1"
"205713_s_at","205713_s_at",9.68276036674228e-17,5.93811403700569e-20,11.2726317435802,34.8198918870989,4.30327668569254,"COMP","1311","cartilage oligomeric matrix protein"
"206825_at","206825_at",9.68276036674228e-17,6.02128673926361e-20,-11.269966569814,34.8063177194937,-4.36650078767124,"OXTR","5021","oxytocin receptor"
"212071_s_at","212071_s_at",1.02601064272146e-16,6.56796936355755e-20,-11.2533163469883,34.7215075376825,-1.15368276255708,"SPTBN1","6711","spectrin beta, non-erythrocytic 1"
"228913_at","228913_at",1.39927634203708e-16,9.46926834117457e-20,-11.1832474016995,34.3644566370538,-2.17397269025876,"TPT1-AS1","100190939","TPT1 antisense RNA 1"
"1558828_s_at","1558828_s_at",1.45295470609378e-16,1.01936301961882e-19,-11.1691345719232,34.2925141460613,-3.16239095890412,"CARMN","728264","cardiac mesoderm enhancer-associated non-coding RNA"
"228434_at","228434_at",1.45295470609378e-16,1.03640116209707e-19,-11.1659610680447,34.2763354382807,-2.79359291856926,"BTNL9","153579","butyrophilin like 9"
"203881_s_at","203881_s_at",1.51348471825491e-16,1.10725905313574e-19,-11.1533007675479,34.2117879761895,-3.36125726407916,"DMD","1756","dystrophin"
"227529_s_at","227529_s_at",2.13695791548842e-16,1.60247415701921e-19,-11.0825565981264,33.8509753502209,-2.53607263698631,"AKAP12","9590","A-kinase anchoring protein 12"
"218567_x_at","218567_x_at",2.4033208480433e-16,1.86981839667485e-19,11.0530395205946,33.7003682275571,1.73485231354642,"DPP3","10072","dipeptidyl peptidase 3"
"236038_at","236038_at",2.48321457968508e-16,2.04379800797126e-19,-11.0360220806454,33.6135227220101,-1.75999304414003,"RNF150","57484","ring finger protein 150"
"238577_s_at","238577_s_at",2.55012212586834e-16,2.14550741271045e-19,-11.0267334207907,33.5661147787955,-3.02086176179605,"TSHZ2","128553","teashirt zinc finger homeobox 2"
"201540_at","201540_at",2.5907503890786e-16,2.27445850344349e-19,-11.015571268704,33.5091402839082,-2.37485036529681,"FHL1","2273","four and a half LIM domains 1"
"209774_x_at","209774_x_at",3.18913710411377e-16,2.85812012988705e-19,-10.9718947500316,33.2861576535744,-3.66056738203958,"CXCL2","2920","C-X-C motif chemokine ligand 2"
"207761_s_at","207761_s_at",3.55731708649246e-16,3.25314776999767e-19,-10.9471463728149,33.1597773269879,-1.52836124809742,"METTL7A","25840","methyltransferase like 7A"
"209763_at","209763_at",3.58976280516493e-16,3.47978836165964e-19,-10.9342730342892,33.0940293365057,-3.49236376712329,"CHRDL1","91851","chordin like 1"
"213661_at","213661_at",3.91091779886218e-16,3.86263486307376e-19,-10.9143236287545,32.992130031383,-2.93315566210047,"PAMR1","25891","peptidase domain containing associated with muscle regeneration 1"
"219059_s_at","219059_s_at",3.9722383269976e-16,3.99585016890477e-19,-10.9078436541511,32.9590280347142,-3.57939537290716,"LYVE1","10894","lymphatic vessel endothelial hyaluronan receptor 1"
"212097_at","212097_at",4.22759427548247e-16,4.33004626295415e-19,-10.8924942193334,32.8806118942692,-2.02602935312025,"CAV1","857","caveolin 1"
"239218_at","239218_at",4.91579224539621e-16,5.14630283424775e-19,-10.8594959067872,32.7120053155354,-1.89848042617961,"PDE1C","5137","phosphodiesterase 1C"
"219295_s_at","219295_s_at",4.91579224539621e-16,5.21474074500193e-19,-10.8569719322229,32.6991074485258,-3.31107275875191,"PCOLCE2","26577","procollagen C-endopeptidase enhancer 2"
"213844_at","213844_at",8.18643206110455e-16,8.98373888735754e-19,-10.7530816456893,32.1680407095885,-3.1219467998478,"HOXA5","3202","homeobox A5"
"216918_s_at","216918_s_at",8.53145944744725e-16,9.51840926006918e-19,-10.7420427289411,32.1115931857412,-3.48026601978691,"DST","667","dystonin"
"228665_at","228665_at",8.6316620470248e-16,9.78807584664906e-19,-10.7367084301684,32.084315022953,-2.17782030060883,"CYYR1","116159","cysteine and tyrosine rich 1"
"204011_at","204011_at",9.42331748745336e-16,1.08581436069421e-18,-10.7168995198517,31.9830108109324,-2.31909092465754,"SPRY2","10253","sprouty RTK signaling antagonist 2"
"36711_at","36711_at",9.49144095700429e-16,1.11102372427668e-18,-10.7125176434831,31.9606001520884,-1.90803691019788,"MAFF","23764","MAF bZIP transcription factor F"
"209613_s_at","209613_s_at",9.61485844325433e-16,1.17822682340748e-18,-10.7013056380462,31.9032551936868,-3.8947415106545,"ADH1B","125","alcohol dehydrogenase 1B (class I), beta polypeptide"
"227243_s_at","227243_s_at",1.26642957657021e-15,1.66772619136818e-18,-10.6349838660223,31.5639810481396,-1.8691075761035,"EBF3","253738","early B-cell factor 3"
"202418_at","202418_at",1.28731882079977e-15,1.7187795869846e-18,10.6292289643484,31.5345364506299,1.11772843987823,"YIF1A","10897","Yip1 interacting factor homolog A, membrane trafficking protein"
"225575_at","225575_at",1.54387971487942e-15,2.11780482150812e-18,-10.5893883905089,31.3306744598984,-2.68051515981736,"LIFR","3977","leukemia inhibitory factor receptor alpha"
"238062_at","238062_at",1.58352792423148e-15,2.20115449916035e-18,-10.5820222483903,31.2929786017,-1.96198757990868,"GPIHBP1","338328","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1"
"225894_at","225894_at",1.64920399316337e-15,2.32261010468367e-18,-10.5717735020274,31.2405293101765,-1.82853328006088,"SYNPO2","171024","synaptopodin 2"
"214063_s_at","214063_s_at",1.67456211402788e-15,2.38895006665158e-18,-10.566399757078,31.2130276252981,-3.40196088660579,"TF","7018","transferrin"
"225511_at","225511_at",2.11933830108907e-15,3.17852292070058e-18,-10.5119156373696,30.9341583458273,-1.15505815449012,"GPRC5B","51704","G protein-coupled receptor class C group 5 member B"
"210495_x_at","210495_x_at",2.43945155796962e-15,3.70323693299457e-18,10.4827672142306,30.784944667548,2.21118755707761,"FN1","2335","fibronectin 1"
"228368_at","228368_at",2.45435662778396e-15,3.77075366682858e-18,-10.4793205340572,30.7672998503449,-2.08963363394217,"ARHGAP20","57569","Rho GTPase activating protein 20"
"228268_at","228268_at",2.64225065512006e-15,4.10775136141207e-18,-10.4629912090602,30.6837015438374,-3.19358194063928,"FMO2","2327","flavin containing monooxygenase 2"
